burdened,a burden
apparntly,apparently
appel,appeal
appereance,appearance
apperances,appearances
apatite,appetite
appatiate,appetite
applaused,applauded
appreceiated,appreciated
apreciation,appreciation
appreate,appropriate
appreiate,appropriate
appropi,appropriate
apprortiate,appropriate
approtate,appropriate
apprpriate,appropriate
appamate,approximate
approcremate,approximate
appromimate,approximate
opproxamate,approximate
approsomently,approximately
aproxcintly,approximately
archaelogists,archaeologists
archaelogy,archaeology
isn't,aren't
argubly,arguably
aurgueing,arguing
arrise,arise
aroung,around
arrange ment,arrangements
artest,artist
assertaine,ascertain
asked,ask
asssassans,assassins
asembly,assembly
assidious,assiduous
assiciated,associated
assocation,association
atheletic,athletic
atash,attache
atouching,attaching
attornnies,attorneys
attorny's,attorneys
atraction,attraction
atractive,attractive
audeince,audience
arudtiorze,auditorium
audatorum,auditorium
auditorimn,auditorium
audotorium,auditorium
authorithy,authority
avoide,avoid
a way,away
ore,awe
babyes,babies
bake,back
bad,bag
bandwith,bandwidth
bankrobbery,bank robbery
banckrupsey,bankruptcy
bankburtcy,bankruptcy
bankrupt,bankruptcy
bankruptic,bankruptcy
basse,base
bisic,basic
battle axe,battle-axe
beache,beach
bear like,bear-like
beauteful,beautiful
beutiful,beautiful
becomes,became
baceause,because
become,because
be for,before
beefore,before
befoer,before
peck,beg
bigining,beginning
believes,beliefs
belifs,beliefs
belives,believes
benefitical,beneficial
beneificial,beneficial
benieficial,beneficial
benifecal,beneficial
penafishal,beneficial
bended,bent
bereivement,bereavement
beside,besides
beseiging,besieging
bewteen,between
biologichal,biological
was bite,bit
black board,blackboard
blait,bleat
belu,blew
blody,bloody
blossem,blossom
blur,blurred
bush,blushed
bordered,boarded
bomes,bombs
bones,bonus
bonies,bonus
vonus,bonus
boklet,booklet
boks,books
botanic,botanical
botome,bottom
bounsing,bouncing
bound,bounds
boaut,bout
boxs,boxes
brak,brake
brakke,brake
branche,branch
bran,brand
bread winner,bread-winner
bread,breathe
brethen,brethren
bretheren,brethren
bugy,buggy
buglarys,buglaries
bulletun,bulletin
bullitan,bulletin
bulling,bullying
bungolo,bungalow
bungulow,bungalow
buoancy,buoyancy
beaurocratic,bureaucratic
vared,buried
burnd,burned
buisiness,business
busness,business
bussines,business
buisnessman,businessman
bursting,busting
buzying,busy
put,but
botton,button
boxom,buxom
calm,calmed
game,came
campagn,campaign
cancell,cancel
cancle,canceled
cansel,canceled
cansuled,canceled
caunceled,canceled
canssaling,canceling
cansulling,canceling
canditate,candidate
canvas,canvass
carreer,career
carrys,carries
cataloug,catalogues
catalue,catalogues
catagory,category
catergoys,category
catapillers,caterpillars
coast,cats
cautch,caught
cought,caught
casues,causes
kave,cave
ceaice,cease
sec,cease
ceaced,ceased
ceast,ceased
sceace,ceased
sciesed,ceased
seiced,ceased
sesease,ceased
celebate,celebrate
sellybrat,celebrate
sent,cent
senter,center
center half,centre-half
centry,century
sirtain,certain
citificate,certificate
chork,chalk
chalenging,challenging
charistics,characteristics
chataukwa,chautauqua
chetickway,chautauqua
shitaka,chautauqua
showtucwa,chautauqua
chear,cheer
chemestry,chemistry
renestri,chemistry
childrens,children's
choice,chose
curch,church
cigaret,cigarette
circumsntances,circumstances
cilivized,civilized
class,classes
cleanlyness,cleanliness
clift,cliff
clim,climb
climing,climbing
killing,climbing
closed,close
closd,closed
clowds,clouds
cocroches,cockroaches
coeficient,coefficient
can't,coildn't
coald,cold
cologate,colgate
co laterial,collateral
colaveral,collateral
collateroul,collateral
later,collateral
rolateral,collateral
collosus,colossus
colow,coloured
coulorful,colourful
commense,commence
comerce,commerce
comersial,commercial
comitted,committed
commitie,committee
committe,committee
comitties,committees
committys,committees
comunacat,communicate
communciation,communication
compagnion,companion
comany,company
comparativeley,comparatively
comparativily,comparatively
comparitly,comparatively
compartively,comparatively
comperatively,comparatively
parantively,comparatively
compinent,competent
completment,competent
compotent,competent
comiler,compiler
complaning,completing
complsion,completion
comprimise,compromise
consede,concede
concede,conceive
concevee,conceive
conserve,conceive
consentrates,concentrates
conserning,concerning
comfirm,confirm
congratalation,congratulations
congratulation,congratulations
congres,congress
conived,connived
conqueor,conquer
comsions,conscience
conceinsious,conscience
conciouns,conscience
consceince,conscience
conscioness,conscience
conceanencious,conscientious
conceineous,conscientious
concientience,conscientious
concientious,conscientious
conscienious,conscientious
consenuous,conscientious
consience,conscientious
consiensus,conscientious
consientous,conscientious
consyiensious,conscientious
consercutively,consecutively
conesencus,consensus
consaquin,consequent
conservitive,conservative
conscistant,consistent
consistaunt,consistent
consistient,consistent
constent,consistent
cosumers,consumers'
consup,consumption
contuct,contact
contininent,continent
continential,continental
continue,continued
continous,continuous
continual,continuous
continuoes,continuous
controlled,control
conqouversing,controversy
conterversy,controversy
contretearsing,controversy
convenitaly,conveniently
conventely,conveniently
conventily,conveniently
convienally,conveniently
coper,copper
copied,copy
corospondance,correspondence
corraspondence,correspondence
coridoor,corridoor
costed,cost
coucil,council
concile,counsel
council,counsel
counicl,counsel
conntinent,countenance
contanence,countenance
countanents,countenance
counteance,countenance
countenense,countenance
countenes,countenance
coutance,countenance
countris,countries
carty,country
couraged,courage
cause,course
curses,courses
courisey's,courtesies
courtcies,courtesies
courticies,courtesies
curtousies,courtesies
courteaus,courtesy
courtesie,courtesy
curtscy,courtesy
curtusese,courtesy
cousin,cousin's
covers,cover
cowboy's,cowboys
creture,creature
crim,crime
critisized,criticised
cridictcisim,criticism
criticem,criticism
critism,criticism
critisisms,criticisms
criticists,critics
ctitique,critique
croun,crown
cruiser,cruise
cruse,cruise
cri,cry
cultur,culture
cubards,cupboards
courisity,curiosity
curiostey,curiosity
curiosty,curiosity
currosity,curiosity
quorous,curious
cirl,curl
curruntly,currently
ciriculum,curriculum
cartoons,curtains
curwed,curved
coustermer's,customer's
custamor's,customer's
custemmeress,customer's
costomers,customers
cat,cut
damgous,damage
dammage,damaged
dand,dandy
dark-eye,dark-eyed
debted,debit
defit,debit
decided,decide
descide,decide
decide,decided
decidilly,decidedly
deciditly,decidedly
desing,deciding
descission,decision
decessions,decisions
declair,declare
ded,deed
defense,defence
defanetely,definitely
defenatly,definitely
defenetly,definitely
definatilly,definitely
definttally,definitely
diffineatily,definitely
defenitions,definitions
decree,degree
delincwant,delinquent
delingquat,delinquent
delingute,delinquent
delinquenut,delinquent
deluncious,delinquent
delerious,delirious
dilirious,delirious
damenor,demeanor
dein,deny
demy,deny
deposite,deposit
darby,derby
derogitory,derogatory
descendent,descendant
describe,described
descriibes,describes
desacription,description
descrption,description
dessert,desert
dezine,design
despiration,desperation
destablized,destabilized
desinations,destinations
distroy,destroy
distroyed,destroyed
detormined,determined
develope,develop
devlopping,developing
divils,devils
diahorrea,diarrhoea
dichtomy,dichotomy
did'ent,didn't
dead,died
difference,different
differents,different
diffcult,difficult
difficient,difficult
diffucult,difficult
dificulty,difficulty
delemma,dilemma
dime,dim
bank,dining
diosese,diocese
diplomancy,diplomacy
disabelled,disabled
dissapearance,disappearance
disapeared,disappeared
dispoint,disappoint
disponmant,disappointment
dissapointed,disappointment
diciplinary,disciplinary
disapline,discipline
disipline,discipline
disiplined,disciplined
disiplines,disciplines
disover,discover
discreet,discrete
dicretion,discretion
discreation,discretion
discrusion,discretion
dicussed,discussed
dieases,diseases
dishes,dish
disobeing,disobeying
dispence,dispense
disput,dispute
distanse,distance
distand,distant
ditributed,distributed
divison,division
divition,division
docterments,documents
documen,documents
deormetormy,dormitory
dormititory,dormitory
doutless,doubtless
bown,down
deaft,draft
drink,drank
drunk,drank
drasticaly,drastically
dremd,dreamed
droped,dropped
draw,drove
drond,drown
drogadicts,drug addict
druming,drumming
dutly,duly
diing,dying
diying,dying
ech,each
earlyer,earlier
eerly,early
est,east
eaten,eating
economtric,econometric
ecnomic,economic
ecomics,economic
econmic,economic
ecconmical,economical
ecomocal,economical
economal,economical
equalnomackle,economical
equinomical,economical
eccomonics,economics
econonmix,economics
edeation,edition
afeatiensly,efficiency
affaicentaly,efficiency
effeciance,efficiency
effientcy,efficiency
efficent,efficient
effeciently,efficiently
effert,effort
egoist,egotistic
eight,eighth
elaberate,elaborate
oldest,eldest
electric,electricity
alimentry,elementary
elecomarity,elementary
elematary,elementary
elliminate,eliminate
elminlate,eliminate
illimenate,eliminate
eminating,emanating
ambarashed,embarrassed
emmisarries,emissaries
emmisarry,emissary
emphaised,emphasised
emphesizes,emphasizes
emperical,empirical
employese,employees
empolyees,employees
empolyment,employment
emtied,emptied
close,enclose
enclosured,enclosed
enclyclopedia,encyclopedia
endolithes,endoliths
emmines,enemies
enainey,enemy
engalfed,engulfed
enchancement,enhancement
enjoy,enjoyable
inlargement,enlargement
enomosly,enormously
enroled,enrolled
entaglements,entanglements
enterd,entered
enteratinment,entertainment
emsuiasim,enthusiasm
enthoustim,enthusiasm
enthuiasm,enthusiasm
enthuseazim,enthusiasm
enthustastic,enthusiasm
infusiasam,enthusiasm
inthousem,enthusiasm
anthusenta,enthusiastic
entheusastic,enthusiastic
imfusiastic,enthusiastic
enviromentalist,environmentalist
enviroments,environments
epidsodes,episodes
apisol,epistle
aposil,epistle
appicial,epistle
depical,epistle
epesale,epistle
ephisal,epistle
epicate,epistle
epicil,epistle
episale,epistle
episeole,epistle
epissal,epistle
eppical,epistle
equilibrum,equilibrium
equate,equipped
equict,equipped
equipd,equipped
equipted,equipped
iquipped,equipped
error,ere
especilly,especially
essentially,essential
astablish,establish
ect,etc
aventually,eventually
evedentually,eventually
eventully,eventually
evidentually,eventually
every,ever
evrey,every
evillness,evilness
exerbate,exacerbate
exsaggerated,exaggerated
eximination,examination
examin,examine
excedingly,exceedingly
exellance,excellance
excells,excels
eccept,except
exep,except
exeption,exception
exited,excited
exctiting,exciting
exuse,excuse
ejecuted,executed
exercize,exercise
exersise,exercise
exerciese,exercises
exhasted,exhausted
exsibites,exhibits
exesistance,existence
exhistence,existence
existens,existence
existing,existence
exhisted,exists
exhists,exists
exisest,exists
expidition,expedition
expediture,expenditure
expenditur,expenditure
expenterture,expenditure
expidenture,expenditure
ixpinditure,expenditure
experances,experiences
experamentors,experimenters
expairy,expiry
explaned,explained
exqusit,exquisite
exzaiate,exquisite
extencive,extensive
extend,extent
evteroridinary,extraordinary
exirordinary,extraordinary
extradinary,extraordinary
extraordary,extraordinary
extrarordy,extraordinary
extrodainary,extraordinary
extrordonary,extraordinary
extroynary,extraordinary
eyeopener,eye-opener
faces,faced
facilatate,facilitate
facatilites,facilities
faciliaties,facilities
faclisisy,facilities
phacilities,facilities
vecilities,facilities
vilictes,facilities
fell,fallen
fells,falls
famoust,famous
fantastique,fantastic
facinate,fascinating
facisinating,fascinating
fascisnating,fascinating
fasinating,fascinating
fastinating,fascinating
favouret,favourite
feture,feature
feeled,felt
feels,felt
fewer,fever
feld,field
firey,fiery
finshed,finished
furst,first
firtly,firstly
fishig,fishing
fite,fit
flamable,flammable
flow,flew
fluorish,flourish
floke,folk
fok,folk
folkes,folk
quotes,folks
flow,follow
fore,for
forists,forests
foregot,forgot
forker,forks
formd,formed
fro,former
formidible,formidable
forewerd,forward
fougth,fought
fragrent,fragrant
freequent,frequent
firend,friends
freindship,friendship
frighten,frightened
fram,from
friut,fruit
fulfill,fulfil
fullfill,fulfill
fullfilled,fulfilled
fill,full
fonitmilny,fundamental
fundametle,fundamental
fundumental,fundamental
funy,funny
feather,further
fus,fuss
galinised,galvanized
galvansive,galvanized
galvinised,galvanized
gim,games
gardon,garden
garderner,gardener
gase,gas
gasolinde,gasoline
adjeanious,genius
geneius,genius
giness,genius
geommitry,geometry
geomotre,geometry
georgry,geometry
goementic,geometry
get,gets
gingam,gingham
girl,girls'
gives,give
going,goes
goign,going
to go,going
well looked,good looking
goodby,good-bye
corgss,gorgeous
gorgeious,gorgeous
gorgeous,gorgeous
gover,govern
goverments,government's
gowernments,governments
grown,gown
gramatically,grammatically
grammaphone,gramophone
gratiful,grateful
rainfall,grateful
gratuitious,gratuitous
greats,great
la-grippe,grippe
garantee,guarantee
garauntee,guarantee
garent,guarantee
garented,guarantee
garunteed,guarantee
gaurantee,guarantee
garintet,guaranteed
garnteed,guaranteed
garuanteed,guaranteed
gauranteed,guaranteed
gaurenteed,guaranteed
guarantied,guaranteed
guarintee,guaranteed
guranteed,guaranteed
guarentees,guarantees
garddein,guardian
gauadian,guardian
guadean,guardian
guardend,guardian
guardin,guardian
gurriden,guardian
guesthouse,guest house
gest,guests
genia,guinea
gon,gun
jym,gym
has got,had
haf,half
hallowen,halloween
handiciekes,handkerchiefs
hardley,hardly
harmones,harmony
didn't work,hasn't worked
hassel,hassle
hated,hate
hove,have
haven,haven't
have-ing,having
headacke,headache
headdeck,headache
headeach,headache
headmisstres,headmistress
headquaters,headquarters
here,hear
hieght,height
herlo,hello
hopled,helped
hea,here
hid,hide
hierachial,hierarchal
hinderence,hindrance
hsitorians,historians
hitsingles,hit singles
holing,holding
hol,hole
honored,honoured
hoop,hope
hop scotch,hopscotch
horned rim,horn-rimmed
housholds,households
howaver,however
humen,human
human,humane
humurous,humorous
hydrolectric,hydroelectric
hydropile,hydrophile
hyms,hymns
hifine,hyphen
i'ed,i'd
indentical,identical
idiocyncracy,idiosyncrasy
ignorent,ignorant
illegimacy,illegitimacy
emmtation,imitation
imititation,imitation
ematly,immediately
imadeatly,immediately
imeaditatly,immediately
imedeatly,immediately
imediatley,immediately
imideately,immediately
immedatly,immediately
immidiately,immediately
semeteatly,immediately
immigrationproblem,immigration problem
emminent,imminent
emply,imply
importat,important
impossibilty,impossibility
emprisoned,imprisoned
prisoned,imprisoned
improove,improve
inhability,inability
incendentaly,incidentally
incidental,incidentally
incidentaly,incidentally
incidence,incidents
includind,included
inclouding,including
incomptetent,incompetent
inconveniance,inconvenience
inconvinence,inconvenience
inconvenense,inconvenienced
inconveniences,inconvenienced
inconventant,inconvenienced
inconventuns,inconvenienced
inconvient,inconvenienced
incovenienced,inconvenienced
inquents,inconvenienced
inconvi,inconvenient
inconvinence,inconvenient
incorprates,incorporates
incorruptable,incorruptible
indeffernt,indefinite
indefinately,indefinite
indefinet,indefinite
indifenent,indefinite
indiffent,indefinite
indiffiant,indefinite
imdefimitely,indefinitely
indefenitly,indefinitely
indeffinatelly,indefinitely
indiphialy,indefinitely
indespensible,indispensable
individul,individual
indivial,individuals
indulgue,indulge
unequalities,inequalities
infalability,infallibility
infrantryman,infantryman
enfants,infants
infectous,infectious
infaent,infinite
infenident,infinite
infinunt,infinite
ingenius,ingenious
enecial,initials
enneation,initiation
inishasion,initiation
inisitation,initiation
inititation,initiation
insuatition,initiation
innoscence,innocence
inocence,innocence
innocents,innocent
inocience,innocent
innoculate,inoculate
incedious,insidious
instructure,instructor
enteriall,intellectual
innectional,intellectual
intelengle,intellectual
intellcial,intellectual
intellicual,intellectual
intellutual,intellectual
interxable,intellectual
intolectiuial,intellectual
intrleclual,intellectual
inturest,interest
intepretation,interpretation
intepretator,interpretor
interupted,interrupted
introduse,introduce
itnroduced,introduced
investingate,investigate
inviting,invite
envolving,involving
idlemised,itemized
itemize,itemized
jack daw,jackdaw
jacknife,jackknife
jayle,jail
janiter,janitor
jalouseie,jealousy
joing,join
joned,joined
journeys,journey
jous,juice
junctions,junction
kahki,khaki
kil,kill
kind manerdly,kind manneredly
kinderdarden,kindergarten
kindergarton,kindergarten
kingergarton,kindergarten
kinly,kindly
kives,knives
knocked,knock
knoked,knocked
nocks,knocks
kwno,know
knowledde,knowledge
knowledges,knowledge
labetory,laboratory
labouros,laborious
laders,ladders
laggon,lagoon
language,langage
largly,largely
lager,larger
least,last
let,late
launchs,launch
law abiding,law-abiding
leding,leading
leant,learnt
leaves,leave
lift,left
legeslature,legislature
legitamate,legitimate
lesure,leisure
lase,less
lat,let
let down,let-down
levetates,levitates
lukid,likud
line,lines
leteralaly,literally
liberally,literally
librally,literally
literaley,literally
literlaral,literally
litterary,literary
leave,live
lieved,lived
leaves,lives
localy,locally
log,long
long,longing
lonny,loony
less,loss
loovar,louvre
lock,luck
lunch time,lunch-time
luxurius,luxurious
machinaries,machinery
mad,made
magnifisant,magnificent
maintainence,maintenance
maintance,maintenance
mack,make
miake,make
maks,makes
macking,making
malfuc,malfunction
managable,manageable
manged,managed
managment,management
manegement,management
multifolded,manifold
manuel,manual
manufacturies,manufactories
manufacture,manufactured
manufactor,manufacturer
magerine,margarine
marriage,married
masters,mastes
merterially,materially
matathmatics,mathematics
mathemectics,mathematics
mathmetics,mathematics
mather,matter
mesure,measure
medicenes,medicines
mediciney,mediciny
mediterainnean,mediterranean
maloncolly,melancholy
melancohly,melancholy
melenacella,melancholy
melioncolly,melancholy
melloncaly,melancholy
melloncolly,melancholy
meloncally,melancholy
meloncholly,melancholy
mamradan,memorandum
memarandum,memorandum
memberanon,memorandum
memorandem,memorandum
memradum,memorandum
menorandon,memorandum
mearsise,memories
memoirs,memories
memorie's,memories
memorries,memories
man,men
mension,mention
merchantment,merchantmen
meter,metre
mid year,mid-year
middleclass,middle class
middele,middle
middle age,middle-aged
mit,might
milion,million
mine,mind
miminum,minimum
minanum,minimum
minuets,minutes
mesalaneous,miscellaneous
miccellaneous,miscellaneous
miscellaeous,miscellaneous
missilaneous,miscellaneous
missfortune,misfortune
mrs,miss
missle,missile
mispell,misspell
mouning,moaning
muny,money
mouths,months
monument,monuments
more over,moreover
mortgague,mortgage
moast,most
mothercountry,mother country
movie,movies
many,much
mutch,much
murmered,murmured
mucian,museum
museams,museums
museaums,museums
mus,must
mucen't,mustn't
mus't,mustn't
mutucal,mutual
mutunal,mutual
muself,myself
misteries,mysterious
mysterie,mysterious
mysteries,mysterious
misteary,mystery
mistlery,mystery
narcotica,narcotics
nations,nation
naturely,naturally
necessaraly,necessarily
nessassarly,necessarily
nesscary,necessarily
necesser,necessary
nessisary,necessary
necessiate,necessitate
nead,need
needlwork,needlework
negotation,negotiation
negoatiations,negotiations
negocation,negotiations
negociation,negotiations
negogations,negotiations
negogiations,negotiations
negoiation,negotiations
negoshiations,negotiations
negossiations,negotiations
negota,negotiations
negotians,negotiations
negotions,negotiations
neguotiations,negotiations
nicociation,negotiations
neiborhood,neighborhood
neighboor,neighbour
knew,new
nex,next
micely,nicely
nigth,night
ninty,ninety
note,not
notably,notable
notic,notice
own,now
neuclar,nuclear
nuisense,nuisance
nusuces,nuisances
nozled,nuzzled
optaning,obtaining
obviousl,obvious
ocassional,occasional
acctionally,occasionally
ocassionaly,occasionally
occasonaly,occasionally
accur,occur
occures,occurs
ofcourse,of course
to fall,of falling
offers,offer
offerd,offered
offen,often
oldests,oldest
one day,one-day
one's,ones
onyl,only
opperating,operating
oportunities,opportunities
oppertunities,opportunities
oppurtuneties,opportunities
alnalley,ordinarily
ordaniarly,ordinarily
ordinlary,ordinarily
othere,other
other's,others'
our's,ours
out,outings
outputed,outputted
out side,outside
outsid,outside
overe,over
over emphassised,over-emphasized
overwelding,overwhelming
oned,owned
oister,oyster
pake,pack
backing,packing
par,pair
panthelet,pamphlet
pamfelets,pamphlets
pamplet,pamphlets
paniphlets,pamphlets
panthleats,pamphlets
phamphet,pamphlets
parcels paper,paper parcels
parrald,parallel
paralely,parallelly
parrallelly,parallelly
paren't,parents
paliamentarian,parliamentarian
parots,parrots
parshall,partial
parsial,partial
participated,participate
particals,particles
paticular,particular
part,party
was passing,passed
passerbys,passersby
pasionat,passionate
passportholders,passport holders
passed,past
pass time,pastime
pastur,pasture
pattented,patented
pathe,path
paitience,patience
patiencently,patiently
patiens,patients
paws,pause
pavment,pavement
peninsular,peninsula
peropel,people
pople,people
perceed,perceive
perseave,perceive
persent,percentage
perfect,perfectly
preform,perform
performence,performance
perfum,perfume
perhaphs,perhaps
permaiently,permanently
permannently,permanently
perminately,permanently
premonitly,permanently
permisable,permissible
prepetual,perpetual
persom,person
personal,personally
personaly,personally
prespective,perspective
persuation,persuasion
prevaded,pervaded
faroan's,pharaoh's
pharons,pharaohs
faise,phase
phasis,phase
philospher,philosopher
filosiphy,philosophy
folosicy,philosophy
philoficy,philosophy
philophy,philosophy
philosfy,philosophy
philosophe,philosophy
phlosophy,philosophy
pholpher,philosophy
phoncall,phone call
photagraph,photograph
phasin,physician
phisishiun,physician
pick-pockets,pickpockets
pecturusk,picturesque
pickuqres,picturesque
picturect,picturesque
picturerest,picturesque
picturques,picturesque
paj,pie
peaces,pieces
piecing,piercing
pined,pinned
plain,plane
play grood,playground
playgroung,playground
playes,plays
pleace,please
glad,pleased
amomea,pneumonia
peneumia,pneumonia
pheunomina,pneumonia
pheuphmonia,pneumonia
phnomeia,pneumonia
phnumonia,pneumonia
pnumeia,pneumonia
pouetry,poetry
police-stations,police stations
policman,policeman
polucated,polluted
poverful,powerful
powerfull,powerful
praires,prairies
preceeding,preceding
presious,precious
predecesors,predecessors
preferrable,preferable
prefered,preferred
refered,preferred
preastoric,prehistoric
perjudice,prejudice
predgdice,prejudice
predgidous,prejudice
predidesh,prejudice
predigeous,prejudice
predigest,prejudice
predjerdice,prejudice
pregulious,prejudice
prejiduce,prejudice
prejudce,prejudice
prejudis,prejudice
pridgests,prejudice
redgeisdes,prejudice
treadgidous,prejudice
premillenial,premillennial
prosent,present
pesently,presently
predsidents,president's
prestiege,prestige
prestigeous,prestigious
pretented,pretend
premary,primary
primairy,primary
primry,primary
principal,principle
priciples,principles
principales,principles
prent,print
prented,printed
priting,printing
preyer,prior
pryor,prior
priviage,privilege
providge,privilege
priviledges,privileges
probarly,probably
probolary,probably
ploblem,problem
proceedger,procedure
procesor,processor
proffeson,profession
proffeciency,proficiency
profoundity,profundity
programms,programmes
porgress,progress
prouncements,pronouncements
pronisation,pronunciation
propaler,properly
propotions,proportions
perposed,proposed
protaganist,protagonist
provides,provide
provisiosn,provision
sicolagest,psychologist
phyciogy,psychology
physoligicoly,psychology
pschycology,psychology
pyschology,psychology
scycolgy,psychology
sicolodgy,psychology
sychology,psychology
sycoleguy,psychology
sygiligate,psychology
publishre,publisher
punish,punishes
pupil's,pupils'
purpul,purple
pussycat,pussy-cat
qeen,queen
quistion,question
questonable,questionable
quesionnaire,questionnaire
questionear,questionnaire
quick tempered,quick-tempered
quitely,quietly
radiaclly,radically
radio-manufacturer,radio manufacturer
rain coat,raincoat
raize,raise
runned,ran
raing,rang
reating,rating
ratle,rattle
reachs,reaches
reding,reading
realistice,realistic
reson,reason
recipt,receipt
recceats,receipts
receite,receipts
recipes,receipts
reciover,receiver
receving,receiving
reciving,receiving
recconds,reckon
recednition,recognition
recegnition,recognition
recomition,recognition
reconigation,recognition
reconitin,recognition
reccomend,recommend
reccommend,recommend
recommendation,recommend
rexemindiation,recommendation
reccommanditions,recommendations
reccommodations,recommendations
recomendent,recommendations
recommenddation,recommendations
recommondations,recommendations
twenty,recommendations
recommendant,recommended
recommending,recommended
recomanding,recommending
remmaction,recommending
rectangeles,rectangle
rferences,references
refeard,referred
referred,referring
refferring,referring
referigerator,refrigerator
refregator,refrigerator
refreigiator,refrigerator
refrigrater,refrigerator
refrigtator,refrigerator
reguard,regard
regaurding,regarding
recorrected,regretted
regeted,regretted
regrated,regretted
rehersed,rehearsed
rayin,reign
releyable,reliable
unreluctantly,reluctantly
rememer,remember
remmeber,remember
remebrence,remembrance
reminscent,reminiscent
romoved,removed
renewded,renewed
a rapresentation,representative
repersenatives,representatives
repersentive,representatives
repesident,representatives
represenitive,representatives
representives,representatives
republians,republicans
recquired,required
reequired,required
recesetion,requisition
reckresion,requisition
recquazation,requisition
recquosition,requisition
recqusition,requisition
reposistion,requisition
rescources,resources
resours,resources
responcibility,responsibility
reserant,restaurant
restrent,restaurant
restruarant,restaurant
reveng,revenge
reversable,reversible
rehmetism,rheumatism
reumatum,rheumatism
rheoumatism,rheumatism
rheumaticsm,rheumatism
rhumatisim,rheumatism
rhumatism,rheumatism
rhumetisim,rheumatism
rick,rich
redictoulous,ridiculous
redudels,ridiculous
ridicoulas,ridiculous
ridiculeous,ridiculous
ridiculosis,ridiculous
rudiculous,ridiculous
rites,rights
rubbries,robberies
roling,rolling
romentict,romantic
rought,roughly
roud,round
roe,row
savely,safely
sad,said
sailsman,salesman
sam,same
set,sat
sasafactoryly,satisfactorily
satisfacturaly,satisfactorily
saveing,saving
scandly,scandal
scarcily,scarcely
scearcery,scarcely
scearsly,scarcely
scarsity,scarcity
scarfe,scarf
scenes,scene
scadualy,schedule
scedugal,schedule
schudual,schedule
sechedule,schedule
schedaled,scheduled
schelude,scheduled
scheudle,scheduled
scheul,scheduled
schudle,scheduled
scuedal,scheduled
skeulde,scheduled
shcoole,school
school children's,schoolchildren's
school days,schooldays
school-friend,schoolfriend
scientfic,scientific
cizeres,scissors
scrach,scratch
search,searched
sle,seat
secand,second
secretary,secretary's
seems,seemed
seguoys,segues
ceeded,seized
cesded,seized
seazed,seized
selv,self
sale,sell
sepaphore,semaphore
sed,send
scence,sense
sensable,sensible
senseable,sensible
sentance,sentence
saved,served
severeal,several
sevearly,severely
shadasloo,shadaloo
shok,shook
shortwhile,short while
short tern,short-term
shorther,shorter
sholders,shoulders
shoting,shouting
shown,showed
showen,shown
sick room,sick-room
sight-seeing,sightseeing
siginificant,significant
significative,significant
sins,since
sincerly,sincerely
skying,skiing
sleepies,sleepy
slise,slice
slyed,slide
smal,small
